"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test the database relation.","0","test_tls","tests.integration","Thu Aug 15 02:26:25 UTC 2024","skipped","Thu Aug 15 02:26:25 UTC 2024","","test_node_port","",""
"Test the nodeport.","0","test_data_integrator","tests.integration","Thu Aug 15 02:26:25 UTC 2024","skipped","Thu Aug 15 02:26:25 UTC 2024","","test_node_port","",""
"Upgrade to an invalid version and test rollback.

    Relies on the charm built in the previous test (test_upgrade_from_edge).
    ","","test_fail_and_rollback","tests.integration","","unknown","","","test_upgrade","",""
"Upgrade mysqlrouter while ensuring continuous writes incrementing.","","test_upgrade_from_edge","tests.integration","","unknown","","","test_upgrade","",""
"Test the database relation.","902629","test_database_relation","tests.integration","Thu Aug 15 02:11:29 UTC 2024","broken","Thu Aug 15 02:26:32 UTC 2024","","test_charm","",""
"Test the nodeport.","0","test_node_port_and_clusterip_setup","tests.integration","Thu Aug 15 02:26:25 UTC 2024","skipped","Thu Aug 15 02:26:25 UTC 2024","","test_node_port","",""
"Test the deployment of the charm.","904300","test_build_and_deploy","tests.integration","Thu Aug 15 02:11:21 UTC 2024","broken","Thu Aug 15 02:26:25 UTC 2024","","test_node_port","",""
"Test encryption when backend database is using TLS.","903892","test_build_deploy_and_relate","tests.integration","Thu Aug 15 02:11:17 UTC 2024","broken","Thu Aug 15 02:26:21 UTC 2024","","test_tls","",""
"Test log rotation.","903097","test_log_rotation","tests.integration","Thu Aug 15 02:11:30 UTC 2024","broken","Thu Aug 15 02:26:33 UTC 2024","","test_log_rotation","",""
"Test that the exporter endpoint works when related with TLS","0","test_exporter_endpoint_with_tls","tests.integration","Thu Aug 15 02:36:27 UTC 2024","skipped","Thu Aug 15 02:36:27 UTC 2024","","test_exporter","",""
"Simple test to ensure that mysql, mysqlrouter and application charms deploy.","","test_deploy_edge","tests.integration","","unknown","","","test_upgrade","",""
"Test that exporter endpoint is functional.","1503073","test_exporter_endpoint","tests.integration","Thu Aug 15 02:11:24 UTC 2024","broken","Thu Aug 15 02:36:27 UTC 2024","","test_exporter","",""
"Test encryption when backend database is using TLS.","0","test_connected_encryption","tests.integration","Thu Aug 15 02:26:21 UTC 2024","skipped","Thu Aug 15 02:26:21 UTC 2024","","test_tls","",""
